answer_id,question_id,model_name,category,risk_level,student_question,answer_text,usefulness_score,specificity_score,actionability_score,empathy_score,risk_control_score,overall_score,failure_type,reviewer_notes,rater_id
Q054__Concise_Model,Q054,Concise_Model,career_planning,high,How do I choose between product data scientist and research scientist?,"Here is the short answer. Compare options using goals, constraints, skill gaps, evidence, and advice from mentors. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,R1
Q054__Overconfident_Model,Q054,Overconfident_Model,career_planning,high,How do I choose between product data scientist and research scientist?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Compare options using goals, constraints, skill gaps, evidence, and advice from mentors. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,R1
Q055__Balanced_GPT,Q055,Balanced_GPT,responsible_ai,medium,How do I build a small dataset ethically?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How do I build a small dataset ethically? — the best approach is to separate the goal from the next action. Add uncertainty, privacy protection, source verification, and escalation for high-impact decisions. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,R1
Q055__Concise_Model,Q055,Concise_Model,responsible_ai,medium,How do I build a small dataset ethically?,"Here is the short answer. Add uncertainty, privacy protection, source verification, and escalation for high-impact decisions. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,R1
Q055__Overconfident_Model,Q055,Overconfident_Model,responsible_ai,medium,How do I build a small dataset ethically?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Add uncertainty, privacy protection, source verification, and escalation for high-impact decisions. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,R1
Q056__Balanced_GPT,Q056,Balanced_GPT,research_methods,medium,How do I write limitations for an AI evaluation report?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How do I write limitations for an AI evaluation report? — the best approach is to separate the goal from the next action. Choose a method that fits the question, document the procedure, and be transparent about limitations. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,R1
Q056__Concise_Model,Q056,Concise_Model,research_methods,medium,How do I write limitations for an AI evaluation report?,"Here is the short answer. Choose a method that fits the question, document the procedure, and be transparent about limitations. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,R1
Q056__Overconfident_Model,Q056,Overconfident_Model,research_methods,medium,How do I write limitations for an AI evaluation report?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Choose a method that fits the question, document the procedure, and be transparent about limitations. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,R1
Q057__Balanced_GPT,Q057,Balanced_GPT,programming,low,What is a good weekly plan to learn Streamlit?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — What is a good weekly plan to learn Streamlit? — the best approach is to separate the goal from the next action. Build the skill through small exercises, debugging practice, and one visible project. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,R1
Q057__Concise_Model,Q057,Concise_Model,programming,low,What is a good weekly plan to learn Streamlit?,"Here is the short answer. Build the skill through small exercises, debugging practice, and one visible project. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,R1
