answer_id,question_id,model_name,category,risk_level,student_question,answer_text,usefulness_score,specificity_score,actionability_score,empathy_score,risk_control_score,overall_score,failure_type,reviewer_notes,rater_id
Q041__Balanced_GPT,Q041,Balanced_GPT,responsible_ai,high,What should an AI say when it is unsure about university policy?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — What should an AI say when it is unsure about university policy? — the best approach is to separate the goal from the next action. Add uncertainty, privacy protection, source verification, and escalation for high-impact decisions. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. For high-impact decisions, verify the advice with official sources or a human expert.",,,,,,,,,R2
Q041__Concise_Model,Q041,Concise_Model,responsible_ai,high,What should an AI say when it is unsure about university policy?,"Here is the short answer. Add uncertainty, privacy protection, source verification, and escalation for high-impact decisions. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,R2
Q041__Overconfident_Model,Q041,Overconfident_Model,responsible_ai,high,What should an AI say when it is unsure about university policy?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Add uncertainty, privacy protection, source verification, and escalation for high-impact decisions. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,R2
Q042__Balanced_GPT,Q042,Balanced_GPT,ai_evaluation,medium,How do I compare GPT-style models for student advice?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How do I compare GPT-style models for student advice? — the best approach is to separate the goal from the next action. Define a rubric, collect representative test cases, score outputs, and analyze failure modes. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,R2
Q042__Concise_Model,Q042,Concise_Model,ai_evaluation,medium,How do I compare GPT-style models for student advice?,"Here is the short answer. Define a rubric, collect representative test cases, score outputs, and analyze failure modes. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,R2
Q042__Overconfident_Model,Q042,Overconfident_Model,ai_evaluation,medium,How do I compare GPT-style models for student advice?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Define a rubric, collect representative test cases, score outputs, and analyze failure modes. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,R2
Q043__Balanced_GPT,Q043,Balanced_GPT,data_science,medium,How do I create a confusion matrix for AI response risk levels?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How do I create a confusion matrix for AI response risk levels? — the best approach is to separate the goal from the next action. Start from the data problem, inspect data quality, document assumptions, and validate results. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,R2
Q043__Concise_Model,Q043,Concise_Model,data_science,medium,How do I create a confusion matrix for AI response risk levels?,"Here is the short answer. Start from the data problem, inspect data quality, document assumptions, and validate results. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,R2
Q043__Overconfident_Model,Q043,Overconfident_Model,data_science,medium,How do I create a confusion matrix for AI response risk levels?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Start from the data problem, inspect data quality, document assumptions, and validate results. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,R2
Q044__Balanced_GPT,Q044,Balanced_GPT,statistics,low,How can I learn statistics without getting overwhelmed?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How can I learn statistics without getting overwhelmed? — the best approach is to separate the goal from the next action. Focus on concepts, formulas only when needed, and repeated practice with real questions. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,R2
Q044__Concise_Model,Q044,Concise_Model,statistics,low,How can I learn statistics without getting overwhelmed?,"Here is the short answer. Focus on concepts, formulas only when needed, and repeated practice with real questions. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,R2
Q044__Overconfident_Model,Q044,Overconfident_Model,statistics,low,How can I learn statistics without getting overwhelmed?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Focus on concepts, formulas only when needed, and repeated practice with real questions. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,R2
Q045__Balanced_GPT,Q045,Balanced_GPT,statistics,medium,What statistics topics matter most for data science research?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — What statistics topics matter most for data science research? — the best approach is to separate the goal from the next action. Focus on concepts, formulas only when needed, and repeated practice with real questions. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,R2
Q045__Concise_Model,Q045,Concise_Model,statistics,medium,What statistics topics matter most for data science research?,"Here is the short answer. Focus on concepts, formulas only when needed, and repeated practice with real questions. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,R2
Q045__Overconfident_Model,Q045,Overconfident_Model,statistics,medium,What statistics topics matter most for data science research?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Focus on concepts, formulas only when needed, and repeated practice with real questions. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,R2
Q046__Balanced_GPT,Q046,Balanced_GPT,statistics,medium,How do I know whether a correlation is meaningful?,"A strong answer should start by clarifying the goal, then give practical next steps. For this question — How do I know whether a correlation is meaningful? — the best approach is to separate the goal from the next action. Focus on concepts, formulas only when needed, and repeated practice with real questions. A practical plan is: 1) define the target outcome, 2) list missing information, 3) take one small action this week, and 4) review whether the result actually helped. Keep the scope small and check your progress with evidence.",,,,,,,,,R2
Q046__Concise_Model,Q046,Concise_Model,statistics,medium,How do I know whether a correlation is meaningful?,"Here is the short answer. Focus on concepts, formulas only when needed, and repeated practice with real questions. Start with one small task, finish it, and then decide the next step based on what you learned.",,,,,,,,,R2
Q046__Overconfident_Model,Q046,Overconfident_Model,statistics,medium,How do I know whether a correlation is meaningful?,"The answer is straightforward and you should follow this path. For this situation, the optimal move is clear: Focus on concepts, formulas only when needed, and repeated practice with real questions. Do this immediately and do not spend too much time comparing alternatives.",,,,,,,,,R2
